,index,nneg,npos,ntot
0,CHEMBL1075021,0,35,35
1,CHEMBL1075022,1,34,35
2,CHEMBL1075024,18,24,42
3,CHEMBL1075025,5,27,32
4,CHEMBL1075028,12,43,55
5,CHEMBL1075029,1,31,32
6,CHEMBL1075036,4,29,33
7,CHEMBL1075044,14,14,28
8,CHEMBL1075048,0,25,25
9,CHEMBL1075051,79,79,158
10,CHEMBL1075058,2,15,17
11,CHEMBL1075061,0,24,24
12,CHEMBL1075079,10,13,23
13,CHEMBL1075097,11,45,56
14,CHEMBL1075104,60,208,268
15,CHEMBL1075128,2,10,12
16,CHEMBL1075132,29,21,50
17,CHEMBL1075133,47,27,74
18,CHEMBL1075134,0,30,30
19,CHEMBL1075138,215,11,226
20,CHEMBL1075140,2,35,37
21,CHEMBL1075145,32,107,139
22,CHEMBL1075146,93,13,106
23,CHEMBL1075152,1,63,64
24,CHEMBL1075162,5,18,23
25,CHEMBL1075163,4,25,29
26,CHEMBL1075165,35,15,50
27,CHEMBL1075167,36,37,73
28,CHEMBL1075189,20,59,79
29,CHEMBL1075195,47,26,73
30,CHEMBL1075205,8,13,21
31,CHEMBL1075214,26,26,52
32,CHEMBL1075228,15,166,181
33,CHEMBL1075244,0,10,10
34,CHEMBL1075246,12,21,33
35,CHEMBL1075261,2,38,40
36,CHEMBL1075263,0,18,18
37,CHEMBL1075269,0,43,43
38,CHEMBL1075280,19,56,75
39,CHEMBL1075282,19,27,46
40,CHEMBL1075284,22,129,151
41,CHEMBL1075289,0,18,18
42,CHEMBL1075294,25,30,55
43,CHEMBL1075302,1,23,24
44,CHEMBL1075305,25,13,38
45,CHEMBL1075307,102,14,116
46,CHEMBL1075317,26,27,53
47,CHEMBL1075319,6,91,97
48,CHEMBL1075321,0,11,11
49,CHEMBL1075322,92,38,130
50,CHEMBL1075323,26,18,44
51,CHEMBL1163101,76,37,113
52,CHEMBL1163104,62,11,73
53,CHEMBL1163108,61,12,73
54,CHEMBL1163111,80,16,96
55,CHEMBL1163112,62,12,74
56,CHEMBL1163116,40,90,130
57,CHEMBL1163120,65,11,76
58,CHEMBL1163122,2,25,27
59,CHEMBL1163124,54,19,73
60,CHEMBL1163125,53,214,267
61,CHEMBL1163126,56,18,74
62,CHEMBL1163128,62,11,73
63,CHEMBL1163129,55,17,72
64,CHEMBL1169595,0,14,14
65,CHEMBL1169598,59,38,97
66,CHEMBL1250368,11,27,38
67,CHEMBL1250375,7,83,90
68,CHEMBL1250416,12,10,22
69,CHEMBL1250417,23,22,45
70,CHEMBL1255137,5,37,42
71,CHEMBL1255149,12,161,173
72,CHEMBL1255150,2,95,97
73,CHEMBL1255164,10,53,63
74,CHEMBL1255165,16,57,73
75,CHEMBL1275212,10,98,108
76,CHEMBL1275217,3,27,30
77,CHEMBL1275223,2,18,20
78,CHEMBL1287622,80,49,129
79,CHEMBL1287623,29,87,116
80,CHEMBL1287625,105,15,120
81,CHEMBL1293191,17,32,49
82,CHEMBL1293193,1,11,12
83,CHEMBL1293194,7,15,22
84,CHEMBL1293198,6,10,16
85,CHEMBL1293200,8,14,22
86,CHEMBL1293222,38,30,68
87,CHEMBL1293224,2,50,52
88,CHEMBL1293226,14,22,36
89,CHEMBL1293231,3,28,31
90,CHEMBL1293237,15,22,37
91,CHEMBL1293244,62,36,98
92,CHEMBL1293255,1,127,128
93,CHEMBL1293266,43,25,68
94,CHEMBL1293267,66,63,129
95,CHEMBL1293287,8,18,26
96,CHEMBL1293289,21,73,94
97,CHEMBL1293292,8,62,70
98,CHEMBL1293293,8,73,81
99,CHEMBL1615381,11,34,45
100,CHEMBL1628461,9,33,42
101,CHEMBL1649052,1,26,27
102,CHEMBL1649054,0,45,45
103,CHEMBL1649055,14,41,55
104,CHEMBL1667665,0,37,37
105,CHEMBL1667666,13,13,26
106,CHEMBL1671613,1,73,74
107,CHEMBL1681617,0,10,10
108,CHEMBL1681620,1,70,71
109,CHEMBL1681621,22,29,51
110,CHEMBL1697658,6,17,23
111,CHEMBL1697667,0,10,10
112,CHEMBL1697676,1,26,27
113,CHEMBL1741186,84,168,252
114,CHEMBL1743122,15,18,33
115,CHEMBL1743126,33,29,62
116,CHEMBL1744522,12,28,40
117,CHEMBL1744525,72,325,397
118,CHEMBL1764946,145,18,163
119,CHEMBL1770034,56,20,76
120,CHEMBL1770047,0,30,30
121,CHEMBL1772929,17,36,53
122,CHEMBL1781,174,214,388
123,CHEMBL1781858,58,13,71
124,CHEMBL1781862,5,118,123
125,CHEMBL1781865,2,12,14
126,CHEMBL1782,58,153,211
127,CHEMBL1784,60,41,101
128,CHEMBL1785,357,704,1061
129,CHEMBL1787,37,385,422
130,CHEMBL1790,82,354,436
131,CHEMBL1791,0,42,42
132,CHEMBL1792,39,194,233
133,CHEMBL1793,1,26,27
134,CHEMBL1795091,2,39,41
135,CHEMBL1795101,25,170,195
136,CHEMBL1795117,34,42,76
137,CHEMBL1795119,1,28,29
138,CHEMBL1795126,1,93,94
139,CHEMBL1795127,61,27,88
140,CHEMBL1795135,94,39,133
141,CHEMBL1795138,0,44,44
142,CHEMBL1795139,74,38,112
143,CHEMBL1795148,4,45,49
144,CHEMBL1795165,57,16,73
145,CHEMBL1795166,10,17,27
146,CHEMBL1795167,29,22,51
147,CHEMBL1795168,9,12,21
148,CHEMBL1795171,15,20,35
149,CHEMBL1795180,15,78,93
150,CHEMBL1795186,10,78,88
151,CHEMBL1795190,5,36,41
152,CHEMBL1795192,59,13,72
153,CHEMBL1795195,0,27,27
154,CHEMBL1798,1,40,41
155,CHEMBL1800,182,1444,1626
156,CHEMBL1801,707,507,1214
157,CHEMBL1803,15,130,145
158,CHEMBL1804,99,193,292
159,CHEMBL1805,14,112,126
160,CHEMBL1806,155,53,208
161,CHEMBL1808,165,382,547
162,CHEMBL1809,14,40,54
163,CHEMBL1811,178,618,796
164,CHEMBL1820,33,71,104
165,CHEMBL1821,216,485,701
166,CHEMBL1822,24,132,156
