Dataset	Training Type	95% CI AUROC	95% CI AUPRC	95% CI R2
Drugmatrix	STD	(0.6804, 0.6968)	(0.1422, 0.1557)	(0.1763, 0.2089)
Drugmatrix	STD_SMA	(0.7782, 0.7885)	(0.4336, 0.4475)	(0.403, 0.4507)
Drugmatrix	SMA scrambled	(0.4724, 0.4959)	(0.0661, 0.0714)	(0.0, 0.0041)
Drugmatrix	STD scrambled	(0.5452, 0.5625)	(0.0775, 0.0856)	(0.0073, 0.0234)
Test	STD	(0.9023, 0.905)	(0.9833, 0.984)	(0.6334, 0.6406)
Test	STD_SMA	(0.9041, 0.9088)	(0.9846, 0.985)	(0.6377, 0.6478)
Test	SMA scrambled	(0.4654, 0.4746)	(0.8674, 0.8696)	(0.0005, 0.0012)
Test	STD scrambled	(0.6572, 0.6597)	(0.9184, 0.9217)	(0.0718, 0.0764)
Time Split	STD	(0.7367, 0.7409)	(0.9427, 0.9441)	(0.2124, 0.2181)
Time Split	STD_SMA	(0.7111, 0.7154)	(0.9396, 0.9406)	(0.1853, 0.1873)
Time Split	SMA scrambled	(0.4571, 0.4757)	(0.8512, 0.8568)	(0.0007, 0.0034)
Time Split	STD scrambled	(0.6311, 0.6368)	(0.9049, 0.9065)	(0.0485, 0.0541)
Train	STD	(0.9786, 0.9832)	(0.9968, 0.9975)	(0.9141, 0.9307)
Train	STD_SMA	(0.9727, 0.9772)	(0.9958, 0.9965)	(0.8884, 0.9059)
Train	SMA scrambled	(0.9683, 0.9766)	(0.9952, 0.9965)	(0.8428, 0.8808)
Train	STD scrambled	(0.9812, 0.9816)	(0.9972, 0.9973)	(0.9198, 0.9226)
