	Dataset	Training Type	mean AUROC	mean AUPRC	mean R2
5	Drugmatrix	STD	0.688578882074	0.148963888446	0.19262977699
6	Drugmatrix	STD_SMA	0.783342856894	0.440547874384	0.426859919374
9	Drugmatrix	SMA scrambled	0.484171658195	0.068726276984	0.00205691168724
11	Drugmatrix	STD scrambled	0.553801935755	0.0815875305159	0.0153846335127
17	Test	STD	0.903641995129	0.983687702978	0.63702781282
18	Test	STD_SMA	0.906447997407	0.98477953367	0.64275177871
21	Test	SMA scrambled	0.470005045662	0.868499537037	0.000875457236126
23	Test	STD scrambled	0.658430095918	0.920040985874	0.0740711619148
29	Time Split	STD	0.738807910757	0.943409589815	0.215246281783
30	Time Split	STD_SMA	0.713258047283	0.940120944125	0.186274443447
33	Time Split	SMA scrambled	0.466389273578	0.854021684982	0.00204220667266
35	Time Split	STD scrambled	0.633950729501	0.905708039837	0.0513211538852
41	Train	STD	0.98091098642	0.997154583182	0.922408500236
42	Train	STD_SMA	0.974955331025	0.99618993775	0.897129082339
45	Train	SMA scrambled	0.972477624129	0.995826036078	0.861838288809
47	Train	STD scrambled	0.981372887509	0.997259894629	0.921196207588
